cluster_id	cluster_color
1	#DDACC9
2	#FF88AD
3	#FFB8CE
4	#DD6091
5	#FF7290
6	#FFA388
7	#C77963
8	#9440F3
9	#9900B3
10	#C266D1
11	#6C00BF
12	#A700FF
13	#CA66FF
14	#7779BF
15	#8194CC
16	#533691
17	#9189FF
18	#B09FFF
19	#756FB3
20	#9FAAFF
21	#FF00FF
22	#AF00E6
23	#FF00B3
24	#B3128A
25	#FF4DC1
26	#BD3D9A
27	#882E81
28	#AD589A
29	#AC3491
30	#FFFF00
31	#FFBB33
32	#804811
33	#B06411
34	#BF480D
35	#CC6D3D
36	#FFDF11
37	#D6C300
38	#FF8011
39	#FF9F2C
40	#FFB307
41	#D9C566
42	#BF9F00
43	#806B19
44	#B95541
45	#C77767
46	#C11331
47	#BF8219
48	#994C00
49	#802600
50	#A81111
51	#ED4C50
52	#FF2F7E
53	#FF4343
54	#BC2B11
55	#C94545
56	#E62A5D
57	#D6221D
58	#E67A77
59	#AF3F64
60	#FF197F
61	#D9F077
62	#A6E6A9
63	#7AE6AB
64	#82AD7D
65	#B8FFCA
66	#ADE6A6
67	#00979D
68	#00DDC5
69	#26FFF2
70	#00A809
71	#00FF00
72	#26BF64
73	#33A9CE
74	#0094C2
75	#00A79D
76	#2F8C4D
77	#00879D
78	#669D6A
79	#005C07
80	#008F1F
81	#53879D
82	#53A39D
83	#174F61
84	#A19922
85	#7F9922
86	#C2E32C
87	#96E32C
88	#5100FF
89	#0000FF
90	#22737F
91	#247740
92	#00A863
93	#29E043
94	#53D385
95	#1E806D
96	#4A8044
97	#008F39
98	#3D9946
99	#73CA95
100	#47867A
101	#00B8C3
102	#006091
103	#5C89CC
104	#74A0FF
105	#74CAFF
106	#69A8E6
107	#578EBF
108	#1F6666
109	#2B7880
110	#388899
111	#266180
112	#494566
113	#336D99
114	#254566
115	#335280
116	#FF0000
117	#00FF66
118	#665C47
119	#476655
120	#475D4B
121	#6B998D
122	#6C8581
123	#476662
124	#664747
125	#89997A
126	#6B8059
127	#74996B
128	#665547
129	#807059
130	#997F7A
131	#805F59
132	#4C6647
133	#598069
